domain,BCS,ID,literals,def,usage,hypernymID,hypernym_literals,hypernym_def,hypernym_usage,Prevod literala,Prevod def
medicine,,ENG30-01018359-a,apractic; apraxic,"having uncoordinated muscular movements, symptomatic of a CNS disorder",-,,-,-,-,,
medicine,,ENG30-02642394-a,arthralgic,of or relating to arthralgia,-,,-,-,-,,
medicine,,ENG30-00677434-n,radical hysterectomy; panhysterectomy,surgical removal of the uterus and the ovaries and oviducts and cervix and related lymph nodes,-,ENG30-00677174-n,hysterectomy,surgical removal of the uterus,-,,
medicine,,ENG30-14230800-n,pemphigus,a skin disease characterized by large thin-walled blisters (bullae) arising from normal skin or mucous membrane,-,ENG30-14219661-n,skin disease; disease of the skin; skin disorder; skin problem; skin condition,a disease affecting the skin,-,,
medicine,,ENG30-10387936-n,outpatient,a patient who does not reside in the hospital where he is being treated,-,ENG30-10405694-n,patient,a person who requires medical care,1 : the number of emergency patients has grown rapidly,,
medicine,,ENG30-14364217-n,sword-cut,a scar from a cut made by a sword,-,ENG30-14363483-n,scar; cicatrix; cicatrice,a mark left (usually on the skin) by the healing of injured tissue,-,,
medicine,,ENG30-06052300-n,internal medicine; general medicine,the branch of medicine that deals with the diagnosis and (nonsurgical) treatment of diseases of the internal organs (especially in adults),-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,,
medicine,,ENG30-03072966-a,homeopathic,of or relating to the practice of homeopathy,1 : homeopathic medicine,,-,-,-,,
medicine,,ENG30-14299336-n,sprain,a painful injury to a joint caused by a sudden wrenching of its ligaments,-,ENG30-14299070-n,wrench; twist; pull,a sharp strain on muscles or ligaments,1 : he was sidelined with a hamstring pull | 2 : the wrench to his knee occurred as he fell,,
medicine,,ENG30-14372286-n,the shits; the trots,obscene terms for diarrhea,-,ENG30-14371913-n,diarrhea; diarrhoea; looseness of the bowels,frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor,-,,
